epoch,train_loss,train_slice_dice,valid_loss,valid_slice_dice,valid_micro_dice,valid_micro_iou,lr,epoch_seconds,is_best
1,0.475974,0.685398,0.366331,0.725129,0.879783,0.785368,0.00030000,170.4,1
2,0.234847,0.736358,0.181079,0.821718,0.878203,0.782853,0.00030000,161.0,0
3,0.112529,0.808569,0.091799,0.837519,0.885915,0.795195,0.00030000,160.3,1
4,0.097950,0.818907,0.064515,0.881845,0.900984,0.819810,0.00030000,159.8,1
5,0.096216,0.820484,0.061458,0.886453,0.909563,0.834127,0.00030000,159.7,1
6,0.093961,0.824368,0.069452,0.870828,0.906059,0.828253,0.00030000,159.4,0
7,0.092477,0.826576,0.061762,0.884361,0.911287,0.837031,0.00030000,159.6,1
8,0.091377,0.828592,0.087966,0.834329,0.901052,0.819923,0.00030000,159.9,0
9,0.090656,0.829905,0.059464,0.889182,0.911050,0.836631,0.00030000,159.6,0
10,0.088620,0.833325,0.064280,0.881777,0.892407,0.805718,0.00030000,159.5,0
11,0.089133,0.832572,0.061991,0.883910,0.911876,0.838026,0.00030000,159.4,1
12,0.088118,0.834394,0.073825,0.861378,0.903188,0.823467,0.00030000,160.1,0
13,0.087906,0.834842,0.060695,0.887461,0.902927,0.823032,0.00030000,159.6,0
14,0.086760,0.836892,0.060653,0.886348,0.909223,0.833556,0.00030000,159.9,0
15,0.086187,0.837793,0.061968,0.884147,0.910920,0.836412,0.00015000,159.7,0
16,0.082231,0.844668,0.058977,0.889124,0.915296,0.843821,0.00015000,159.7,1
17,0.080974,0.847327,0.058576,0.890615,0.913049,0.840009,0.00015000,162.8,0
18,0.079655,0.849827,0.063379,0.880324,0.913641,0.841011,0.00015000,169.4,0
19,0.079472,0.850018,0.059472,0.888455,0.913786,0.841257,0.00015000,169.7,0
20,0.078713,0.851540,0.073168,0.861499,0.910511,0.835724,0.00007500,169.7,0
21,0.076325,0.855905,0.056234,0.894777,0.914282,0.842098,0.00007500,170.6,0
22,0.075181,0.857984,0.059291,0.888802,0.915648,0.844419,0.00007500,171.1,1
23,0.074672,0.859085,0.060734,0.885543,0.916990,0.846704,0.00007500,170.9,1
24,0.074240,0.859754,0.058340,0.890583,0.917136,0.846955,0.00007500,178.6,1
25,0.074115,0.860046,0.058373,0.890526,0.916673,0.846165,0.00007500,179.8,0
26,0.073520,0.861085,0.058956,0.889379,0.915959,0.844949,0.00007500,180.0,0
27,0.072549,0.862935,0.063337,0.881205,0.915045,0.843394,0.00007500,180.0,0
28,0.072679,0.862977,0.059576,0.887810,0.916478,0.845833,0.00003750,180.3,0
29,0.071265,0.865353,0.060399,0.886248,0.917366,0.847346,0.00003750,180.2,1
30,0.070716,0.866426,0.058218,0.890544,0.916601,0.846042,0.00003750,178.3,0
